species,n_reg,cx,cy,elongacion,max_dist_m,clase_id,clase_lbl,radio_km,radio_m,flag_elongada
Amauropelta pteroidea,5,713535.0387014955,9560275.86843327,1.0003837227143195,1384.9147876695056,4,<= 100 km,100,100000,FALSE
Amauropelta pusilla,12,706394.3637152907,9520922.794495847,7.035117412459927,38250.331983053184,4,<= 100 km,100,100000,TRUE
Amauropelta rudis,6,729423.4685752266,9559507.257075503,1.2293366344640018,67635.75131773239,4,<= 100 km,100,100000,FALSE
Amazilis amazilia,161,701624.9748318131,9547471.11260404,1.00594599228671,59800.42611263816,4,<= 100 km,100,100000,FALSE
Amazona mercenaria,118,711077.7464685068,9513532.612439368,1.3078886845872864,85628.79237743247,4,<= 100 km,100,100000,FALSE
Amazona mercenarius,12,704921.2525529327,9500554.480209835,1.5696736884638915,38818.99719426203,4,<= 100 km,100,100000,FALSE
Ambastus villosus,12,701952.0234120627,9555720.060359336,2.644383068201334,6079.773169663756,4,<= 100 km,100,100000,FALSE
Amblycercus holosericeus,45,727296.3381514479,9530125.287018742,1.3206609446526532,82382.44283522126,4,<= 100 km,100,100000,FALSE
Amicia glandulosa,25,700169.2704038821,9545777.567611393,5.611785801047233,34601.16676390741,4,<= 100 km,100,100000,TRUE
Amiga arnaca,12,725970.3487266888,9529899.919097422,1.0146831402058916,48025.34143512782,4,<= 100 km,100,100000,FALSE
Ammodramus aurifrons,504,736810.2372221859,9539933.21007519,2.0088537182560433,97739.99061727805,4,<= 100 km,100,100000,FALSE
Ampelioides tschudii,21,719411.2053928303,9506213.151256336,1.648514668470924,74656.0742404564,4,<= 100 km,100,100000,FALSE
Ampelion rubrocristatus,38,703311.5678699311,9533041.175624281,3.063089510800372,84874.2621345084,4,<= 100 km,100,100000,FALSE
Ampelion rufaxilla,54,706126.8320063951,9488250.890388392,1.1310755191397497,38923.56921550853,4,<= 100 km,100,100000,FALSE
Amphilophium paniculatum,6,726787.9912054796,9545260.806916296,1.127556989315902,20542.839755765686,4,<= 100 km,100,100000,FALSE
Amphisbaena fuliginosa,65,766784.1871483694,9603926.71411018,1.5016927095844963,71350.74696087897,4,<= 100 km,100,100000,FALSE
Anabacerthia striaticollis,147,729938.2164999404,9532498.798325172,1.524982326594759,97542.01214486547,4,<= 100 km,100,100000,FALSE
Anabazenops dorsalis,47,760751.9594140891,9534464.98755799,3.702702091332927,50310.77169689156,4,<= 100 km,100,100000,FALSE
Anadenanthera colubrina,5,698183.5448834789,9533928.46339805,5.8464288187681355,2865.4318494595327,4,<= 100 km,100,100000,TRUE
Anairetes parulus,19,702231.6034304408,9551962.42997261,2.6688035727225934,71626.31161697018,4,<= 100 km,100,100000,FALSE
Ananas comosus,6,744609.2005610641,9563683.122839276,1.7267594414356566,67960.56696028201,4,<= 100 km,100,100000,FALSE
Anartia amathea,38,731796.229048353,9541739.936585864,2.441372559837967,92989.90673594299,4,<= 100 km,100,100000,FALSE
Anartia jatrophae,12,727873.6240654646,9532835.015090894,1.5324160516578875,51590.17248238173,4,<= 100 km,100,100000,FALSE
Anas andium,18,714933.0233456435,9554646.115137946,1.8036521599280064,91127.27209223848,4,<= 100 km,100,100000,FALSE
Anas bahamensis,5,699232.23038194,9560871.84635088,1.5833261744321894,1064.4946922194622,4,<= 100 km,100,100000,FALSE
Anastrepha NA,9,725497.9872557217,9507878.344252381,2.4997695138852656,100080.59451936359,4,<= 100 km,100,100000,FALSE
Ancognatha vulgaris,6,721147.5821772615,9535142.509830764,1.5896900657916209,78457.1058039074,4,<= 100 km,100,100000,FALSE
Ancyluris aulestes,7,744253.1763478286,9560099.206456507,1.3898977809138515,63191.29509864167,4,<= 100 km,100,100000,FALSE
