species,n_reg,cx,cy,elongacion,max_dist_m,clase_id,clase_lbl,radio_km,radio_m,flag_elongada
Cortaderia hapalotricha,6,718661.097155665,9560604.210741676,7.212982045438779,111642.28388721638,4,<= 100 km,100,100000,TRUE
Cortaderia peruvianus,6,702260.082110733,9525410.329589957,7.519491557436516,45562.567496358904,4,<= 100 km,100,100000,TRUE
Cranichis ciliata,6,707855.4575294588,9550347.520466384,4.036273601785213,42925.14886426605,4,<= 100 km,100,100000,TRUE
Cyathea atahuallpa,6,706970.4263696623,9538827.552390132,10.223176955680195,36002.86301508143,4,<= 100 km,100,100000,TRUE
Cyrtochilum trifurcatum,6,707475.3988201214,9516307.133120805,76.11412734124607,43174.094516984325,4,<= 100 km,100,100000,TRUE
Dendrocygna bicolor,6,699489.200320241,9560516.133254424,4.632031136415933,1413.964889196003,4,<= 100 km,100,100000,TRUE
Deprea harlingiana,6,708039.5626547311,9526003.689728009,5.87297437971964,80939.74472022727,4,<= 100 km,100,100000,TRUE
Diabrotica speciosa,6,700458.2773999937,9542158.808345985,7.281081240867382,56794.86605411963,4,<= 100 km,100,100000,TRUE
Duranta erecta,6,700791.1427251295,9535651.430105742,7.612240180462867,89411.57138360749,4,<= 100 km,100,100000,TRUE
Echinochloa crus-galli,6,764178.6779449394,9588785.528066874,16.711438275234933,6106.678772805194,4,<= 100 km,100,100000,TRUE
Elaphoglossum notatum,6,716581.5735340244,9511436.107523136,4.184442137326764,48941.777954027,4,<= 100 km,100,100000,TRUE
Eleocharis bonariensis,6,707199.4740199172,9532772.100919375,14.621095391279397,28689.288331707256,4,<= 100 km,100,100000,TRUE
Eois golosata,6,706896.7442936643,9526510.083915396,5.0944591798969014,34183.91291107645,4,<= 100 km,100,100000,TRUE
Epidendrum recurvitepalostachyum,6,709335.7965557734,9537509.400707407,8.779791976416774,33329.49546891889,4,<= 100 km,100,100000,TRUE
Ergavia NA,6,723215.8411949043,9544928.781337706,12.813472587999835,9989.182397545785,4,<= 100 km,100,100000,TRUE
